Id,R_G1,R_G2,R_G3
DEU_LocationALower-11_10_T-1,0.2039229497251006,0.1139979734761373,0.3163681381686201
DEU_LocationALower-11_11_T-1,0.2161431966081893,0.1008309653483939,0.244800146607764
DEU_LocationALower-11_12_T-1,0.2482051360920558,0.1073061197259418,0.2707201382769229
DEU_LocationALower-11_13_T-1,-0.0113522954707628,0.0931436186857249,0.2479681454584415
DEU_LocationALower-11_14_T-1,0.15821557182122,0.095869834015688,0.3134881452191148
DEU_LocationALower-11_1_T-1,0.0134384900626123,0.088293258093839,0.2448001400695004
DEU_LocationALower-11_2_T-1,0.1794459307169745,0.1484964300188711,0.2748961433915743
DEU_LocationALower-11_3_T-1,0.1040615005941376,0.0931849310031465,0.3617281389573507
DEU_LocationALower-11_5_T-1,0.1205874426353342,0.1041806532419086,0.2952001424895935
DEU_LocationALower-11_6_T-1,0.2028605656229304,0.1079168065139772,0.2642401471392871
DEU_LocationALower-11_7_T-1,0.4794459809536711,0.0772275070253782,0.2645281472687474
DEU_LocationALower-11_8_T-1,0.0378772306909777,0.1131040627401212,0.2816641457949653
DEU_LocationALower-11_9_T-1,0.8287249997012507,0.1303253159506208,0.2878561383936965
DEU_LocationALower-12_10_T-1,0.0177774156484778,0.102499767872678,0.2515681509200296
DEU_LocationALower-12_11_T-1,0.1796399425237709,0.141917499157795,0.3228481413058724
DEU_LocationALower-12_12_T-1,0.0411813769737082,0.1208090211299639,0.3041281401307468
DEU_LocationALower-12_13_T-1,0.0603619460946839,0.1039146333817696,0.3208321473661807
DEU_LocationALower-12_14_T-1,0.0635340418382924,0.1100815030097724,0.277632144599842
DEU_LocationALower-12_15_T-1,0.0254346196465507,0.0749784019037554,0.3807361454423478
DEU_LocationALower-12_17_T-1,0.0429799209683457,0.1035185079825635,0.3435841427439927
DEU_LocationALower-12_19_T-1,0.0887506191763955,0.0914454615323646,0.3345121395938576
DEU_LocationALower-12_1_T-1,0.376186977889445,0.1109545507144455,0.3404161388367174
DEU_LocationALower-12_20_T-1,0.1154335749045214,0.1158462402360921,0.2698561379738774
DEU_LocationALower-12_21_T-1,0.106979192744818,0.1088076522791564,0.2890081392561309
DEU_LocationALower-12_22_T-1,0.2032330840523591,0.0909320223442229,0.3810241465955384
DEU_LocationALower-12_23_T-1,0.1138116716832782,0.1005699806866605,0.2697121380114426
DEU_LocationALower-12_4_T-1,0.1320733017225131,0.1242500000000003,0.333936144
DEU_LocationALower-12_5_T-1,0.1512029304637057,0.1444916381062354,0.2865601411286825
DEU_LocationALower-12_7_T-1,0.0196573964885573,0.0824524387208279,0.3627361495131749
DEU_LocationALower-12_9_T-1,0.1929313475750212,0.1260428205279636,0.3785761455669317
DEU_LocationALower-13_11_T-1,0.183158931578245,0.1429099710275359,0.1794241435404194
DEU_LocationALower-13_13_T-1,0.023515748562961,0.0860527571029652,0.3026881406004429
DEU_LocationALower-13_17_T-1,0.0430581707176251,0.1126555454906309,0.2626561471271922
DEU_LocationALower-13_19_T-1,0.1106302537866801,0.1524038672774754,0.3646081430415414
DEU_LocationALower-13_1_T-1,0.3381375357879916,0.1097499999999996,0.2240641505059229
DEU_LocationALower-13_21_T-1,0.027279478373306,0.09593766335902,0.240048144
DEU_LocationALower-13_22_T-1,0.3314596816411098,0.1203154578383134,0.2761921473391259
DEU_LocationALower-13_23_T-1,0.9729744131888168,0.1230893277120593,0.3265921370479387
DEU_LocationALower-13_26_T-1,0.0264297493403814,0.1155193154040276,0.2253601376654156
DEU_LocationALower-13_27_T-1,0.5482117883825365,0.088379490288149,0.2717281410416607
DEU_LocationALower-13_2_T-1,0.2501597892623385,0.1172706671064673,0.1850401495235479
DEU_LocationALower-13_3_T-1,0.0709589831687146,0.1306590749282466,0.3454561428816595
DEU_LocationALower-13_5_T-1,0.0096998373927036,0.0782682688383285,0.2792161484555261
DEU_LocationALower-13_7_T-1,1.0,0.1565742311245795,0.2161441398343167
DEU_LocationALower-13_8_T-1,0.1959786499619842,0.0527205794606423,0.3016801392802136
DEU_LocationALower-13_9_T-1,0.9688793267805812,0.041338359601379,0.340560143697029
DEU_LocationALower-14_10_T-1,0.6913880381348707,0.1228480043158761,0.3103201430884157
DEU_LocationALower-14_11_T-1,1.0,-0.0771472556907417,0.2027521377781697
DEU_LocationALower-14_12_T-1,0.0921009758962404,0.0975753719815397,0.2612161377988691
DEU_LocationALower-14_14_T-1,0.1749192773568294,0.1403976920662609,0.1648801392933614
DEU_LocationALower-14_15_T-1,0.184181153958285,0.1209505506972012,0.3736801398385677
DEU_LocationALower-14_16_T-1,0.593719157011601,0.13275,0.218160144
DEU_LocationALower-14_18_T-1,0.0203140403647904,0.0903524967908447,0.2404801439936371
DEU_LocationALower-14_19_T-1,0.2930991663834709,0.1588677915591752,0.1146241480001371
DEU_LocationALower-14_1_T-1,0.0352829072254507,0.0496671468527237,0.2502721451217741
DEU_LocationALower-14_23_T-1,0.2545774701644722,0.129835197059838,0.2832481456487795
DEU_LocationALower-14_24_T-1,0.1162232201510426,0.11727693528025,0.3742561451875033
DEU_LocationALower-14_26_T-1,0.2781769185647591,0.1782038271598718,0.2063521384652328
DEU_LocationALower-14_28_T-1,0.1723532037200338,0.1053159904158537,0.3336481407206308
DEU_LocationALower-14_3_T-1,1.0,-0.0878947677105074,0.2543041371711506
DEU_LocationALower-14_4_T-1,0.604906451736043,0.0573937853671049,0.2394721509863548
DEU_LocationALower-14_5_T-1,0.0118623202180067,0.0923715849780624,0.2676961463637228
DEU_LocationALower-14_6_T-1,0.0232880082957612,0.0760184174003833,0.2517121503052267
DEU_LocationALower-14_7_T-1,0.3851804815429263,0.1493803876246332,0.116352137949866
DEU_LocationALower-14_8_T-1,0.1576887808941227,0.1057940455853533,0.252144141845941
DEU_LocationALower-14_9_T-1,0.0184970998065138,0.074280846359529,0.3679201414637819
DEU_LocationALower-25_10_T-1,0.2424416228260902,0.1371767413933614,0.3240001453069603
DEU_LocationALower-25_11_T-1,0.112774891913834,0.1381572325433122,0.3075841403396647
DEU_LocationALower-25_12_T-1,0.3741671283654233,0.1065869739573482,0.3777121380562265
DEU_LocationALower-25_13_T-1,0.5960794780313668,0.1470956516497008,0.3898081369968724
DEU_LocationALower-25_14_T-1,0.3813640492772961,0.1130511222095876,0.3597121434237298
DEU_LocationALower-25_15_T-1,0.3420561663739329,0.1418214569850313,0.4046401480767098
DEU_LocationALower-25_17_T-1,0.0553701082301083,0.1083769482146755,0.3718081479066778
DEU_LocationALower-25_18_T-1,0.2453371777297487,0.1586058194297891,0.378576141312806
DEU_LocationALower-25_19_T-1,0.3205681124535001,0.1241163255407499,0.3723841445599028
DEU_LocationALower-25_1_T-1,0.2330346863460509,0.1003268591609493,0.4720321467363544
DEU_LocationALower-25_20_T-1,0.0878554085020588,0.1294005431197124,0.3291841479240869
DEU_LocationALower-25_21_T-1,-0.0095679236385801,0.0363933945518476,0.4425121460190241
DEU_LocationALower-25_22_T-1,0.1298033555180843,0.0776578353289946,0.427968146726466
DEU_LocationALower-25_23_T-1,0.091729145962791,0.1506397729001075,0.3703681448540347
DEU_LocationALower-25_24_T-1,0.050442390714326,0.1036248266947131,0.3368161422574957
DEU_LocationALower-25_26_T-1,0.160558765629846,0.1109557617919524,0.3860641498306504
DEU_LocationALower-25_28_T-1,0.0686690699025065,0.1174441011359476,0.3801601413119815
DEU_LocationALower-25_29_T-1,0.046942005526435,0.1009902717621555,0.4068001458134743
DEU_LocationALower-25_30_T-1,0.0414130398502864,0.0647717353094495,0.6036481433151085
DEU_LocationALower-25_3_T-1,0.2499652608709535,0.1387789961910856,0.3888001465043459
DEU_LocationALower-25_5_T-1,0.0418044971356601,0.0878559273831742,0.414576144
DEU_LocationALower-25_6_T-1,0.0855723955578385,0.1300392979610794,0.4216321510188571
DEU_LocationALower-25_7_T-1,0.15923231923079,0.1300392152923496,0.4098241460184891
DEU_LocationALower-25_8_T-1,0.0268506550556109,0.1026616538171974,0.3659041444801947
DEU_LocationALower-25_9_T-1,0.1829828059073777,0.1186849176191117,0.4079521476579657
DEU_LocationALower-26_10_T-1,0.0563657002870568,0.1169207028986534,0.3841921448611322
DEU_LocationALower-26_11_T-1,0.113544317049555,0.1594343269501855,0.3431521479906709
DEU_LocationALower-26_14_T-1,0.1995598122459861,0.1236937599794393,0.3954241421728228
DEU_LocationALower-26_17_T-1,0.0811635672527332,0.006715340171354,0.3741121439729168
DEU_LocationALower-26_18_T-1,0.1151276072373124,0.1130440432814785,0.4129921427798215
DEU_LocationALower-26_19_T-1,0.0603348340663341,0.1175214507242454,0.3818881463794256
DEU_LocationALower-26_1_T-1,0.1422603924968137,0.107716884958469,0.5057281392457068
DEU_LocationALower-26_21_T-1,0.0900924133495739,0.1441146176926266,0.3575521408874117
DEU_LocationALower-26_24_T-1,0.1566492006417915,0.12675,0.397728144
DEU_LocationALower-26_25_T-1,0.0919281193084397,0.1043114448762966,0.3503521390872233
DEU_LocationALower-26_26_T-1,0.0668615307301316,0.1335396644105746,0.409248139290623
DEU_LocationALower-26_27_T-1,0.1194399116914657,0.1509056871459609,0.439488147843906
DEU_LocationALower-26_28_T-1,0.0670163453234064,0.1112988090102504,0.4353121426583538
DEU_LocationALower-26_2_T-1,0.0733377762535424,0.1078580382428033,0.5099041415804485
DEU_LocationALower-26_7_T-1,0.2431410341427825,0.1518661093111678,0.3890881413051187
DEU_LocationALower-26_8_T-1,0.2287351343113182,0.1060931637760331,0.3974401501381151
DEU_LocationALower-26_9_T-1,0.1513860218843271,0.124050305387232,0.411120145425121
DEU_LocationALower-27_10_T-1,0.5943657031597558,0.1598026934014965,0.2236321504877274
DEU_LocationALower-27_11_T-1,0.0618315053256738,0.1276733024992175,0.2018881475614251
DEU_LocationALower-27_12_T-1,0.1154882319558199,0.1239064385535336,0.3369601455135155
DEU_LocationALower-27_13_T-1,0.0150905034828043,0.008484941248292,0.2931841376531356
DEU_LocationALower-27_14_T-1,0.2209201112212658,0.1090829041231963,0.2628001395772059
DEU_LocationALower-27_16_T-1,0.1119728377511225,0.1398513085804214,0.249408143558138
DEU_LocationALower-27_18_T-1,0.1836586280413587,0.1317947136639832,0.1594081455681391
DEU_LocationALower-27_20_T-1,0.212156363208673,0.1138614448990351,0.264240146198255
DEU_LocationALower-27_21_T-1,0.768759997703553,0.1506345762439917,0.2604961458092648
DEU_LocationALower-27_23_T-1,0.0477826932711467,0.0841915453670104,0.219600140550975
DEU_LocationALower-27_24_T-1,0.023140555377318,0.0773087664430153,0.39513614205955
DEU_LocationALower-27_26_T-1,0.2214080609432679,0.1243184968529524,0.261504144
DEU_LocationALower-27_27_T-1,0.0854023207767686,0.1135605830116334,0.3441601404400521
DEU_LocationALower-27_28_T-1,0.1250021508222818,0.1438149506947763,0.3996001414045315
DEU_LocationALower-27_29_T-1,0.234600617903056,0.1112335559977738,0.2566081417532656
DEU_LocationALower-27_30_T-1,0.0850682348688723,0.1305357959372791,0.2833921472671221
DEU_LocationALower-27_31_T-1,0.0443231667101572,0.0657808444089778,0.5044321439656401
DEU_LocationALower-27_3_T-1,0.0518155683632438,0.119912739363017,0.3111841392670639
DEU_LocationALower-27_4_T-1,0.3585455878833112,0.1197085334317195,0.3990241453037059
DEU_LocationALower-27_6_T-1,0.0286851494046428,0.0858350998565663,0.4023361449530113
DEU_LocationALower-27_8_T-1,0.0640577261220873,0.1115140478629009,0.4373281374785522
DEU_LocationALower-28_10_T-1,1.0,0.0684042920303119,0.2505601462073731
DEU_LocationALower-28_11_T-1,0.197754350036548,0.1521450296732531,0.2396161503528157
DEU_LocationALower-28_12_T-1,0.0010789006340717,0.0863821896924625,0.2351521451701199
DEU_LocationALower-28_13_T-1,1.0,-0.0637500000000001,0.222048144
DEU_LocationALower-28_14_T-1,0.0473600698897666,0.0940605990740154,0.2689921381885053
DEU_LocationALower-28_15_T-1,0.079995112235619,0.118227769992065,0.2872801436405434
DEU_LocationALower-28_16_T-1,0.4552545606660955,0.1544213858402814,0.3964321459128962
DEU_LocationALower-28_19_T-1,0.6899195242074374,0.1303354472946057,0.1870561498168011
DEU_LocationALower-28_1_T-1,0.1115116679105567,0.0809189415419898,0.4065121445045094
DEU_LocationALower-28_20_T-1,0.2438077963969672,0.143410818922011,0.2371681500597279
DEU_LocationALower-28_21_T-1,0.3750460734272896,0.1132078910912032,0.2979361397649943
DEU_LocationALower-28_22_T-1,-0.0133093821947927,0.0726588926072,0.2655361444920379
DEU_LocationALower-28_23_T-1,0.8254348055382482,0.1113763044615817,0.2121121369230499
